Source,Target,Type,Id,Label,Weight,capacity,distance
2,46,Directed,171,,1,-0.495055,4.527969
2,49,Directed,174,,1,-0.495055,4.527969
2,51,Directed,176,,1,-0.495055,4.527969
2,52,Directed,177,,1,-0.495055,4.527969
2,54,Directed,179,,1,-0.495055,4.527969
2,56,Directed,181,,1,-0.495055,4.527969
2,59,Directed,184,,1,-0.495055,4.527969
2,0,Directed,126,,1,-0.896093,4.049939
2,3,Directed,128,,1,-0.896093,4.049939
2,6,Directed,131,,1,-0.896093,4.049939
2,32,Directed,157,,1,-1.368367,3.50735
2,34,Directed,159,,1,-1.368367,3.50735
2,8,Directed,133,,1,-3.466065,2.863739
2,10,Directed,135,,1,-3.466065,2.863739
2,18,Directed,143,,1,-3.466065,2.863739
2,24,Directed,149,,1,-3.466065,2.863739
2,26,Directed,151,,1,-3.466065,2.863739
2,42,Directed,167,,1,-7.551904,2.02497
2,48,Directed,173,,1,-7.551904,2.02497
2,50,Directed,175,,1,-7.551904,2.02497
2,58,Directed,183,,1,-7.551904,2.024969
3,60,Directed,248,,1,1.394329,8.349163
3,12,Directed,200,,1,0.053783,7.576742
3,14,Directed,202,,1,0.053783,7.576742
3,20,Directed,208,,1,0.053783,7.576742
3,21,Directed,209,,1,0.053783,7.576742
3,61,Directed,249,,1,0.170875,7.301131
3,62,Directed,250,,1,0.170875,7.301131
3,4,Directed,192,,1,0.001109,7.0147
3,36,Directed,224,,1,-0.109418,6.716064
3,37,Directed,225,,1,-0.109418,6.716064
3,38,Directed,226,,1,-0.109418,6.716064
3,39,Directed,227,,1,-0.109418,6.716064
3,13,Directed,201,,1,-0.04441,6.403516
3,15,Directed,203,,1,-0.04441,6.403516
3,22,Directed,210,,1,-0.04441,6.403516
3,23,Directed,211,,1,-0.04441,6.403516
3,56,Directed,244,,1,-0.231339,6.074909
3,63,Directed,251,,1,-0.231339,6.074909
3,44,Directed,232,,1,-0.231339,6.074908
3,45,Directed,233,,1,-0.231339,6.074908
3,52,Directed,240,,1,-0.231339,6.074908
3,54,Directed,242,,1,-0.231339,6.074908
3,0,Directed,189,,1,-0.121643,5.727479
3,5,Directed,193,,1,-0.121643,5.727479
3,6,Directed,194,,1,-0.121643,5.727479
3,8,Directed,196,,1,-0.304961,4.960142
3,10,Directed,198,,1,-0.304961,4.960142
3,16,Directed,204,,1,-0.304961,4.960142
3,17,Directed,205,,1,-0.304961,4.960142
3,28,Directed,216,,1,-0.304961,4.960142
3,29,Directed,217,,1,-0.304961,4.960142
3,30,Directed,218,,1,-0.304961,4.960142
3,31,Directed,219,,1,-0.304961,4.960142
3,40,Directed,228,,1,-0.495055,4.527969
3,41,Directed,229,,1,-0.495055,4.527969
3,46,Directed,234,,1,-0.495055,4.527969
3,47,Directed,235,,1,-0.495055,4.527969
3,48,Directed,236,,1,-0.495055,4.527969
3,50,Directed,238,,1,-0.495055,4.527969
3,53,Directed,241,,1,-0.495055,4.527969
3,55,Directed,243,,1,-0.495055,4.527969
3,57,Directed,245,,1,-0.495055,4.527969
3,58,Directed,246,,1,-0.495055,4.527969
3,1,Directed,190,,1,-0.896093,4.049939
3,2,Directed,191,,1,-0.896093,4.049939
3,7,Directed,195,,1,-0.896093,4.049939
3,32,Directed,220,,1,-1.368367,3.50735
3,33,Directed,221,,1,-1.368367,3.50735
3,34,Directed,222,,1,-1.368367,3.50735
3,35,Directed,223,,1,-1.368367,3.50735
3,9,Directed,197,,1,-3.466065,2.863739
3,11,Directed,199,,1,-3.466065,2.863739
3,18,Directed,206,,1,-3.466065,2.863739
3,19,Directed,207,,1,-3.466065,2.863739
3,24,Directed,212,,1,-3.466065,2.863739
3,25,Directed,213,,1,-3.466065,2.863739
3,26,Directed,214,,1,-3.466065,2.863739
3,27,Directed,215,,1,-3.466065,2.863739
3,49,Directed,237,,1,-7.551904,2.02497
3,51,Directed,239,,1,-7.551904,2.02497
3,42,Directed,230,,1,-7.551904,2.024969
3,43,Directed,231,,1,-7.551904,2.024969
3,59,Directed,247,,1,-7.551904,2.024969
4,27,Directed,278,,1,0.689635,9.497949
4,35,Directed,286,,1,2.384348,8.826637
4,39,Directed,290,,1,2.384348,8.826637
4,31,Directed,282,,1,0.264571,8.591218
4,43,Directed,294,,1,1.394329,8.349163
4,51,Directed,302,,1,1.394329,8.349163
4,11,Directed,262,,1,0.053783,7.576742
4,15,Directed,266,,1,0.053783,7.576742
4,19,Directed,270,,1,0.053783,7.576742
4,23,Directed,274,,1,0.053783,7.576742
4,25,Directed,276,,1,0.053783,7.576742
4,26,Directed,277,,1,0.053783,7.576742
4,41,Directed,292,,1,0.170875,7.301131
4,47,Directed,298,,1,0.170875,7.301131
4,50,Directed,301,,1,0.170875,7.301131
4,55,Directed,306,,1,0.170875,7.301131
4,3,Directed,255,,1,0.001109,7.0147
4,33,Directed,284,,1,-0.109418,6.716064
4,34,Directed,285,,1,-0.109418,6.716064
4,37,Directed,288,,1,-0.109418,6.716064
4,38,Directed,289,,1,-0.109418,6.716064
4,10,Directed,261,,1,-0.04441,6.403516
4,14,Directed,265,,1,-0.04441,6.403516
4,17,Directed,268,,1,-0.04441,6.403516
4,21,Directed,272,,1,-0.04441,6.403516
4,29,Directed,280,,1,-0.04441,6.403516
4,30,Directed,281,,1,-0.04441,6.403516
4,49,Directed,300,,1,-0.231339,6.074909
4,54,Directed,305,,1,-0.231339,6.074909
4,59,Directed,310,,1,-0.231339,6.074909
4,63,Directed,314,,1,-0.231339,6.074909
4,42,Directed,293,,1,-0.231339,6.074908
4,45,Directed,296,,1,-0.231339,6.074908
4,1,Directed,253,,1,-0.121643,5.727479
4,2,Directed,254,,1,-0.121643,5.727479
4,7,Directed,258,,1,-0.121643,5.727479
4,9,Directed,260,,1,-0.304961,4.960142
4,13,Directed,264,,1,-0.304961,4.960142
4,18,Directed,269,,1,-0.304961,4.960142
4,22,Directed,273,,1,-0.304961,4.960142
4,24,Directed,275,,1,-0.304961,4.960142
4,40,Directed,291,,1,-0.495055,4.527969
4,46,Directed,297,,1,-0.495055,4.527969
4,48,Directed,299,,1,-0.495055,4.527969
4,53,Directed,304,,1,-0.495055,4.527969
4,57,Directed,308,,1,-0.495055,4.527969
4,58,Directed,309,,1,-0.495055,4.527969
4,61,Directed,312,,1,-0.495055,4.527969
4,62,Directed,313,,1,-0.495055,4.527969
4,0,Directed,252,,1,-0.896093,4.049939
4,5,Directed,256,,1,-0.896093,4.049939
4,6,Directed,257,,1,-0.896093,4.049939
4,32,Directed,283,,1,-1.368367,3.50735
4,36,Directed,287,,1,-1.368367,3.50735
4,8,Directed,259,,1,-3.466065,2.863739
4,12,Directed,263,,1,-3.466065,2.863739
4,16,Directed,267,,1,-3.466065,2.863739
4,20,Directed,271,,1,-3.466065,2.863739
4,28,Directed,279,,1,-3.466065,2.863739
4,44,Directed,295,,1,-7.551904,2.02497
4,52,Directed,303,,1,-7.551904,2.02497
4,56,Directed,307,,1,-7.551904,2.02497
4,60,Directed,311,,1,-7.551904,2.02497
5,50,Directed,364,,1,1.394329,8.349163
5,10,Directed,324,,1,0.053783,7.576742
5,14,Directed,328,,1,0.053783,7.576742
5,26,Directed,340,,1,0.053783,7.576742
5,27,Directed,341,,1,0.053783,7.576742
5,51,Directed,365,,1,0.170875,7.301131
5,54,Directed,368,,1,0.170875,7.301131
5,2,Directed,317,,1,0.001109,7.0147
5,34,Directed,348,,1,-0.109418,6.716064
5,35,Directed,349,,1,-0.109418,6.716064
5,38,Directed,352,,1,-0.109418,6.716064
5,39,Directed,353,,1,-0.109418,6.716064
5,11,Directed,325,,1,-0.04441,6.403516
5,15,Directed,329,,1,-0.04441,6.403516
5,30,Directed,344,,1,-0.04441,6.403516
5,31,Directed,345,,1,-0.04441,6.403516
5,48,Directed,362,,1,-0.231339,6.074909
5,55,Directed,369,,1,-0.231339,6.074909
5,58,Directed,372,,1,-0.231339,6.074909
5,62,Directed,376,,1,-0.231339,6.074909
5,42,Directed,356,,1,-0.231339,6.074908
5,43,Directed,357,,1,-0.231339,6.074908
5,0,Directed,315,,1,-0.121643,5.727479
5,3,Directed,318,,1,-0.121643,5.727479
5,6,Directed,320,,1,-0.121643,5.727479
5,8,Directed,322,,1,-0.304961,4.960142
5,12,Directed,326,,1,-0.304961,4.960142
5,18,Directed,332,,1,-0.304961,4.960142
5,19,Directed,333,,1,-0.304961,4.960142
5,22,Directed,336,,1,-0.304961,4.960142
5,23,Directed,337,,1,-0.304961,4.960142
5,24,Directed,338,,1,-0.304961,4.960142
5,25,Directed,339,,1,-0.304961,4.960142
5,40,Directed,354,,1,-0.495055,4.527969
5,41,Directed,355,,1,-0.495055,4.527969
5,46,Directed,360,,1,-0.495055,4.527969
5,47,Directed,361,,1,-0.495055,4.527969
5,49,Directed,363,,1,-0.495055,4.527969
5,52,Directed,366,,1,-0.495055,4.527969
5,56,Directed,370,,1,-0.495055,4.527969
5,59,Directed,373,,1,-0.495055,4.527969
5,60,Directed,374,,1,-0.495055,4.527969
5,63,Directed,377,,1,-0.495055,4.527969
5,1,Directed,316,,1,-0.896093,4.049939
5,4,Directed,319,,1,-0.896093,4.049939
5,7,Directed,321,,1,-0.896093,4.049939
5,32,Directed,346,,1,-1.368367,3.50735
5,33,Directed,347,,1,-1.368367,3.50735
5,36,Directed,350,,1,-1.368367,3.50735
5,37,Directed,351,,1,-1.368367,3.50735
5,9,Directed,323,,1,-3.466065,2.863739
5,13,Directed,327,,1,-3.466065,2.863739
5,16,Directed,330,,1,-3.466065,2.863739
5,17,Directed,331,,1,-3.466065,2.863739
5,20,Directed,334,,1,-3.466065,2.863739
5,21,Directed,335,,1,-3.466065,2.863739
5,28,Directed,342,,1,-3.466065,2.863739
5,29,Directed,343,,1,-3.466065,2.863739
5,53,Directed,367,,1,-7.551904,2.02497
5,57,Directed,371,,1,-7.551904,2.02497
5,61,Directed,375,,1,-7.551904,2.02497
5,44,Directed,358,,1,-7.551904,2.024969
5,45,Directed,359,,1,-7.551904,2.024969
6,41,Directed,418,,1,1.394329,8.349163
6,17,Directed,394,,1,0.053783,7.576742
6,21,Directed,398,,1,0.053783,7.576742
6,25,Directed,402,,1,0.053783,7.576742
6,27,Directed,404,,1,0.053783,7.576742
6,43,Directed,420,,1,0.170875,7.301131
6,45,Directed,422,,1,0.170875,7.301131
6,1,Directed,379,,1,0.001109,7.0147
6,33,Directed,410,,1,-0.109418,6.716064
6,35,Directed,412,,1,-0.109418,6.716064
6,37,Directed,414,,1,-0.109418,6.716064
6,39,Directed,416,,1,-0.109418,6.716064
6,19,Directed,396,,1,-0.04441,6.403516
6,23,Directed,400,,1,-0.04441,6.403516
6,29,Directed,406,,1,-0.04441,6.403516
6,31,Directed,408,,1,-0.04441,6.403516
